name,depth_m,qc_MPa,fs_kPa,u2_kPa
ChristchurchCity_5,1.4999895834,0.3337,6.1,-0.3
ChristchurchCity_5,1.5099791668,0.3484,-4.5,-0.1
ChristchurchCity_5,1.5199687335,0.363,8,-0.1
ChristchurchCity_5,1.5299583169,0.3814,9.5,-0.1
ChristchurchCity_5,1.5399479003,0.4107,-7.3,0
ChristchurchCity_5,1.5499374646,0.4437,12.6,0.2
ChristchurchCity_5,1.5599270289,0.5281,19.9,0.3
ChristchurchCity_5,1.5699166123,0.8287,21.1,0.7
ChristchurchCity_5,1.5799056822,1.0598,26.4,1.3
ChristchurchCity_5,1.5898947325,1.3861,32.4,1
ChristchurchCity_5,1.5998842968,1.5915,30.3,1.3
ChristchurchCity_5,1.6098727757,2.2076,28.3,0.5
ChristchurchCity_5,1.6198612721,2.7833,58.3,0.5
ChristchurchCity_5,1.629849667,3.0766,56.5,1.3
ChristchurchCity_5,1.639838062,3.667,57.4,1.8
ChristchurchCity_5,1.6498264569,4.1657,58,1.6
ChristchurchCity_5,1.6598153236,5.0165,58.4,1.2
ChristchurchCity_5,1.6698028592,5.3685,60.7,1.4
ChristchurchCity_5,1.6797908403,5.7536,59.9,1.5
ChristchurchCity_5,1.6897812996,5.0495,62.2,0.9
ChristchurchCity_5,1.6997692807,5.2402,63.5,1.2
ChristchurchCity_5,1.7097572473,5.4822,63,1
ChristchurchCity_5,1.7197452138,5.6069,62.4,0.1
ChristchurchCity_5,1.7297331804,5.6802,61.8,-2.4
ChristchurchCity_5,1.7397211469,5.7426,62.9,-4.5
ChristchurchCity_5,1.7497091135,5.7939,60,-5.6
ChristchurchCity_5,1.7596966334,5.8122,65.1,-7.2
ChristchurchCity_5,1.76968425,5.8379,67.3,-12
ChristchurchCity_5,1.7796722165,5.9039,62.3,-18.5
ChristchurchCity_5,1.7896601831,5.9479,50.6,-20.8
ChristchurchCity_5,1.7996481496,5.9919,52.8,-31.4
ChristchurchCity_5,1.8096361161,6.0726,60.6,-35.3
ChristchurchCity_5,1.8196236361,6.1423,63,-37.9
ChristchurchCity_5,1.8296116026,6.2706,65.2,-40.6
ChristchurchCity_5,1.8395995692,6.3513,77.6,-44.5
ChristchurchCity_5,1.8495875503,6.4576,70.8,-46.8
ChristchurchCity_5,1.8595750702,6.575,71.7,-48.5
ChristchurchCity_5,1.8695626059,6.762,73.4,-50.3
ChristchurchCity_5,1.8795501258,6.8133,74.6,-52.1
ChristchurchCity_5,1.8895376458,6.85,74.9,-56.7
ChristchurchCity_5,1.8995251657,6.8464,73.9,-58.3
ChristchurchCity_5,1.9095126857,6.7877,73.5,-59.7
ChristchurchCity_5,1.9195009271,6.5237,71.3,-61
ChristchurchCity_5,1.929488447,6.3403,70.3,-63.4
ChristchurchCity_5,1.9394754954,6.1276,69.1,-64.4
ChristchurchCity_5,1.9494630153,5.8563,67,-65.5
ChristchurchCity_5,1.9594505353,5.5812,63.8,-66.4
ChristchurchCity_5,1.9694375836,5.3099,61.7,-67.2
ChristchurchCity_5,1.9794251036,5.0312,60.6,-68
ChristchurchCity_5,1.9894121519,4.7451,59.7,-69.4
ChristchurchCity_5,1.9993992003,4.2611,59.3,-70.3
ChristchurchCity_5,2.0093862486,4.0521,59.1,-70.2
ChristchurchCity_5,2.019373297,3.8944,58.8,-70.2
ChristchurchCity_5,2.0293608169,3.788,57.8,-70.5
ChristchurchCity_5,2.0393483369,3.7184,59.5,-70.6
ChristchurchCity_5,2.0493353852,3.6634,48.5,-70.7
ChristchurchCity_5,2.0593224336,3.612,42.8,-71.1
ChristchurchCity_5,2.0693094819,3.5754,37.8,-71.2
ChristchurchCity_5,2.0792965303,3.546,36.6,-71.3
ChristchurchCity_5,2.0892840502,3.5424,38.8,-71.8
ChristchurchCity_5,2.0992710986,3.5717,41.8,-72
ChristchurchCity_5,2.1092581469,3.5827,45.6,-71.9
ChristchurchCity_5,2.1192451953,3.557,50.2,-71.9
ChristchurchCity_5,2.1292322436,3.4873,52.1,-71.9
ChristchurchCity_5,2.139219292,3.359,54.8,-71.9
ChristchurchCity_5,2.1492057067,3.2343,64.5,-71.9
ChristchurchCity_5,2.1591926875,3.084,70,-71.9
ChristchurchCity_5,2.1691788014,2.952,74.9,-71.8
ChristchurchCity_5,2.1791655712,2.853,79,-71.9
ChristchurchCity_5,2.1891519377,2.7539,82.9,-71.8
ChristchurchCity_5,2.1991383042,2.6916,87.7,-71.9
ChristchurchCity_5,2.2091246707,2.7173,94.3,-71.9
ChristchurchCity_5,2.2191110372,2.7503,100.1,-71.9
ChristchurchCity_5,2.2290974037,2.7759,104.1,-72
ChristchurchCity_5,2.2390842416,2.8089,102.9,-72
ChristchurchCity_5,2.2490706081,2.8456,97.9,-72.1
ChristchurchCity_5,2.2590576565,2.9153,103.4,-72.3
ChristchurchCity_5,2.269044023,2.9996,108.3,-72.4
ChristchurchCity_5,2.2790306037,3.095,110.1,-72.4
ChristchurchCity_5,2.2890171518,3.1683,107.2,-72.4
ChristchurchCity_5,2.2990035183,3.216,110.4,-72.4
ChristchurchCity_5,2.3089898848,3.26,116.2,-72.9
ChristchurchCity_5,2.3189762513,3.2673,121.4,-72.9
ChristchurchCity_5,2.3289626178,3.359,126.4,-73.8
ChristchurchCity_5,2.3389482756,3.7624,125.3,-74.1
ChristchurchCity_5,2.3489339334,4.1694,119,-74.2
ChristchurchCity_5,2.3589195913,4.6205,114.9,-74.2
ChristchurchCity_5,2.3689052491,4.9285,109,-74.3
ChristchurchCity_5,2.3788908649,5.2439,99.5,-74.7
ChristchurchCity_5,2.3888769686,5.6069,109.6,-75.2
ChristchurchCity_5,2.3988630724,6.0909,111.7,-75.4
ChristchurchCity_5,2.408848705,6.6227,114.4,-75.4
ChristchurchCity_5,2.4188336008,7.081,117.7,-75.5
ChristchurchCity_5,2.4288189675,7.4184,120.4,-76.6
ChristchurchCity_5,2.4388038891,7.5541,121.5,-78.7
ChristchurchCity_5,2.4487900177,7.5578,123.5,-80
ChristchurchCity_5,2.4587761463,7.6861,126.5,-79.9
ChristchurchCity_5,2.4687622749,7.8585,135.9,-80.7
ChristchurchCity_5,2.4787484035,8.0125,138.6,-81.1
ChristchurchCity_5,2.4887332993,8.0895,60.9,-82
ChristchurchCity_5,2.4987189571,8.1151,59.9,-82.3
ChristchurchCity_5,2.5087030888,8.0711,59.1,-82.3
ChristchurchCity_5,2.5186892174,8.0235,59.5,-82.3
ChristchurchCity_5,2.5286746105,7.9391,60.5,-82.3
ChristchurchCity_5,2.5386599772,7.8511,59,-82.3
ChristchurchCity_5,2.5486461058,7.6384,55.7,-82.3
ChristchurchCity_5,2.5586322344,7.4881,54.8,-82.6
ChristchurchCity_5,2.5686171561,6.9527,54.8,-80.6
ChristchurchCity_5,2.578601759,6.8574,57.4,-80.8
ChristchurchCity_5,2.5885866806,6.751,63.4,-81
ChristchurchCity_5,2.5985715764,6.6703,68.4,-81.1
